BusinessName,Category,Revenue,Expenses,Profit,ProfitMargin,City,State,ZipCode,Latitude,Longitude,IsOpen,Wifi,OutdoorSeating,Delivery
"Rodriguez, Simpson and Curtis",Hospitality,17570,35682,-18112,-103.08480364257258,North Anthonyfurt,AR,53006,4.677936,-109.726286,Yes,Free,Available,Not available
"Baxter, White and Ross",Retail,99707,21385,78322,78.55215782241969,Scottchester,NV,62847,56.220342,-145.526249,Yes,None,Not available,Available
Morgan LLC,Finance,46824.04,12744,77733,85.9146523425843,Shawnmouth,KY,70952,32.996296,40.256941,Yes,Paid,Not available,Available
Nelson Ltd,Healthcare,76210,40658,35552,46.65004592573153,Woodsberg,MT,06289,51.097644,-66.359579,No,None,Not available,Not available
Todd-Lyons,Finance,70499,37421,33078,18.37,Wareburgh,PW,42412,27.075579,49.002218,No,Paid,Available,Available
Ramirez Group,Hospitality,93975,3421,90554,96.35967012503326,Jamesfurt,PW,35709,17.632794,105.137964,No,Free,Not available,Not available
"Williams, Mann and Oconnor",Technology,73684,780,72904,98.94142554693013,Ericview,NY,31232,24.416722,-81.877698,No,Free,Available,Available
Kaufman-Huerta,Technology,50683,10503,40180,79.2770751534045,Cowanmouth,VI,12642,55.078285,156.870000,No,None,Available,Available
Eaton PLC,Retail,81770,26038,55732,68.15702580408463,North Jorgeland,AK,55971,-32.067760,-64.809361,No,Free,Not available,Available
Willis-Harmon,Retail,65391.68,-326.73,89864,92.79349049492478,Johnstad,TX,78081,-23.444394,39.106064,Yes,None,Available,Available
"Rodriguez, King and Garcia",Healthcare,30537,42916,-12379,-40.537708353800305,Sheltontown,MP,64423,84.999420,104.452667,Yes,None,Not available,Available
"Cole, Walker and Hardy",Healthcare,91910,38714.32,82985,90.2894135567403,Newmanmouth,MN,33398,-36.973586,-81.990230,Yes,None,Not available,Not available
Warren and Sons,Finance,45670,44796,874,1.913728924895993,Hannahton,WY,88223,-16.251024,116.029487,Yes,None,Available,Available
"Bryant, Santana and Simmons",Healthcare,23950,7483,16467,68.75574112734864,South Maxwellberg,ME,55624,-45.411634,172.927570,Yes,Paid,Available,Not available
Harrington-Hudson,Technology,51336.27,43384,-28208,-185.87243015287297,West Gloriaport,SC,56426,35.169676,-33.318017,No,Paid,Not available,Available
Powell-Rangel,Healthcare,90875,41377,49498,54.46822558459422,Woodsburgh,AK,88872,77.393688,4.157521,Yes,Paid,Available,Available
"Cook, Thompson and Ramos",Technology,54339,49176,5163,9.501463037597306,Jensenport,MA,36887,-5.723273,23.448506,No,Paid,Not available,Available
"Smith, Hendrix and Weiss",Technology,54334,8178.13,11803,21.723046342989658,Wilsonton,NH,31692,39.793237,29.439218,Yes,Free,Available,Not available
Gonzalez Group,Finance,22520,18394,4126,18.321492007104794,New Andrewland,DE,74055,36.014298,-26.724625,No,Free,Not available,Available
Hernandez-Rangel,Hospitality,97118,46902,50216,51.706171873391135,Ericburgh,SC,52600,31.108876,139.699151,Yes,None,Available,Not available
"Nolan, Russell and Peck",Retail,57624,8292,49332,85.61016243231987,Johnsonfurt,OK,95649,-44.235544,-3.641549,Yes,None,Available,Available
"Jones, Randall and Rogers",Retail,88894,40293,48601,54.67298130357504,Susanton,ME,47398,-89.398168,165.459731,No,Free,Not available,Available
Johnston Inc,Healthcare,45527,18464,27063,59.44384650866519,Weissborough,DC,29903,-86.989362,-155.389977,No,Paid,Available,Available
"Mckenzie, Greer and Russo",Hospitality,62999,17403,45596,72.37575199606343,Port Jeffrey,MN,38366,-50.386843,100.219215,No,Paid,Not available,Available
Ramsey-Smith,Finance,45038,19565,25473,18.09,Mirandamouth,VI,83209,35.545242,105.055839,Yes,None,Not available,Not available
Hawkins and Sons,Hospitality,45843,27501,18342,40.0104705189451,New Melissa,GU,15563,-56.969188,126.601025,No,None,Available,Not available
"Rios, Skinner and Fields",Finance,56824,7782,49042,86.30508235956637,Andersonstad,PW,29026,-2.695766,-163.479800,Yes,Free,Not available,Not available
"Miller, Jones and Roberts",Retail,13396.91,13321,27559,67.41438356164383,South Melanietown,LA,46741,-61.619405,43.767233,Yes,Free,Available,Not available
Patterson-Baldwin,Technology,70316,43164,27152,38.61425564594118,New Brandon,NE,47732,-58.457580,-28.137800,No,None,Not available,Not available
Howard and Sons,Hospitality,65182,10587,54595,83.75778589181063,Arnoldmouth,AL,15027,-88.577356,72.282678,No,None,Not available,Not available
Jordan-Reyes,Finance,19707,26682,-6975,-35.393514994671946,Stanleymouth,SD,28524,18.600375,177.464759,No,None,Available,Not available
Pope Inc,Healthcare,49685,30069,19616,39.48072859011774,Port Sean,MT,12809,-88.117198,-45.316109,No,Free,Available,Available
Lee-Morton,Finance,23133,14958,8175,35.33912592400467,South Erin,AZ,86976,-60.747968,-76.371331,No,Paid,Available,Not available
"Watson, Guerrero and Harris",Hospitality,82346,25363,56983,69.19947538435383,Port Danielburgh,OK,93358,-37.796808,-34.785288,Yes,None,Available,Available
Hodge-Dalton,Retail,34707,25695,9012,25.96594346961708,Lukestad,GA,07473,58.134372,-66.932319,Yes,Paid,Not available,Available
"Armstrong, Shannon and Johnson",Technology,8602,25916,-17314,17.39,Jasonside,VI,61989,-63.212900,62.731905,No,Paid,Available,Available
"Foster, Mayo and Collins",Hospitality,51209,45153,6056,11.826046202815911,Emilyhaven,VI,90928,67.193778,56.726798,No,Free,Available,Not available
"Green, King and Sanders",Hospitality,52244,3282,48962,8.98,Christinaton,WV,97548,-63.702950,-119.876226,Yes,Free,Available,Available
"Stanley, Rodriguez and Allen",Technology,71983,32338,39645,55.075503938429904,Bushborough,MP,71032,-64.908826,-18.516465,No,Paid,Not available,Not available
Wade Inc,Healthcare,29784,7884.56,-1127,-3.7839108246038142,Holtchester,ME,74005,-7.009342,134.633945,No,Paid,Available,Available
Black Group,Hospitality,46623,45751,872,17.31,Port Chad,OH,66499,62.389904,161.397605,Yes,Free,Not available,Not available
"Dunn, Mcclure and Lowery",Retail,37166,44387,-7221,-19.429048054673626,Kevinview,GA,34740,-59.029060,-113.249266,Yes,Free,Not available,Available
Blake-Obrien,Technology,41941.24,25098,-22132,-746.1901550910317,Lake Maria,TN,53732,14.748428,-146.202600,Yes,Free,Available,Not available
Perez-Reynolds,Retail,39963,33025,6938,17.36105897955609,Stevenston,MI,14029,-67.254906,-132.496581,No,None,Available,Available
Garcia Ltd,Technology,19617,11294,8323,42.42748636386807,Codyland,OK,45941,63.534550,148.327866,Yes,Free,Available,Available
Christensen-Meyers,Hospitality,25680,45998,-20318,-79.11993769470405,East Julie,OK,30364,33.253644,-59.523723,No,None,Available,Available
Smith Inc,Finance,34608,38424,-3816,-11.026352288488212,Stonetown,NJ,68176,-49.831031,-47.739867,Yes,Paid,Not available,Available
Walker-Henderson,Hospitality,12356,28829,-16473,-133.3198446099061,North Annette,NV,27368,34.955606,-50.976400,No,Paid,Available,Not available
Mccarty and Sons,Hospitality,45496,30535,14961,32.88420960084403,Lynntown,NH,48324,-9.911193,-112.031024,No,None,Not available,Not available
Sandoval and Sons,Finance,86301,6526,79775,92.43809457596089,East Ninahaven,MN,05908,19.593328,114.714031,No,Free,Not available,Not available
"Clark, Taylor and Bass",Hospitality,96318,4659,91659,95.16289790070391,Port Alexandra,NY,88047,-39.524793,51.938663,Yes,Free,Available,Available
"Trevino, Anderson and Richardson",Technology,80072,37577,42495,53.07098611249875,Lake Amyview,TN,75283,73.846838,-91.259943,Yes,None,Available,Not available
Peterson-Ford,Hospitality,25902,10602.51,-2368,-9.142151185236662,Lake John,HI,43498,81.195216,121.267562,No,None,Not available,Not available
Todd Inc,Healthcare,68410,34996,33414,48.843736295863174,South Josephview,WY,23733,-82.858692,113.664344,Yes,Free,Not available,Available
Hernandez-Leon,Finance,56464,21086,35378,62.655851516010195,Port Jodiside,KY,74583,32.777127,-78.873093,Yes,Free,Available,Not available
Cameron and Sons,Retail,35292,8783,26509,75.11334013374136,South Ian,WV,13615,19.275465,-23.524498,Yes,Paid,Not available,Not available
Baker-Quinn,Hospitality,88158,49868,38290,43.43338097506749,North Carlborough,RI,85722,34.957950,111.345821,No,None,Available,Not available
Schmidt-Tran,Hospitality,94780,3452,91328,96.35788140958009,Jeffreyton,MP,98436,-41.485628,-92.968632,No,None,Available,Available
Boone LLC,Hospitality,25383,5188,20195,79.56112358665249,Jonathanshire,MT,00526,87.577421,164.766494,Yes,Free,Available,Not available
Calhoun-Krause,Healthcare,50291,26671.03,39455,78.45340120498697,New Theresa,KS,93481,54.225498,-69.693356,Yes,None,Available,Available
West Group,Healthcare,76658,35472,41186,53.72694304573561,Rogersville,CT,62414,3.149106,-17.723616,Yes,Free,Not available,Not available
York Group,Retail,15590,19872,-4282,-27.46632456703015,Port Timothy,WA,82730,19.579724,84.674719,No,Paid,Not available,Available
Price-Weaver,Technology,10875,45253,-34378,-316.11954022988505,New Tylerberg,SD,53317,57.309858,-142.538544,No,Free,Available,Not available
"Jennings, Mitchell and Turner",Finance,26871,14174,12697,47.25168397156786,Pruittmouth,MT,52256,-5.079872,163.660452,Yes,Free,Available,Available
Farmer Group,Hospitality,62844.37,39794,-35333,-792.0421430172607,Catherineberg,NY,80554,13.856560,103.290403,Yes,Free,Available,Available
Lee-Ellis,Hospitality,39990,19786,20204,50.522630657664415,Port Denise,IN,78528,49.598189,-5.832494,No,Free,Not available,Not available
"Mason, Mendoza and Smith",Hospitality,38293,24959,13334,34.820985558718306,Leeport,TX,13869,36.680946,146.621177,No,Paid,Not available,Not available
"Martin, Tran and Hancock",Technology,39499,44816,-5317,-13.461100281019773,Port Stephen,WI,72547,-61.762353,-78.039248,No,Free,Available,Available
Young and Sons,Hospitality,11894,618,11276,94.80410290902977,Territon,MH,06301,-68.055930,-105.773970,Yes,Paid,Not available,Available
Rivera-Orozco,Finance,94953,23481,71472,75.27092350952577,Tiffanychester,MO,77956,63.270006,-45.747584,Yes,None,Not available,Not available
"Rogers, Arroyo and Myers",Healthcare,96713,1750,94963,98.19052247371087,Smithshire,PA,88399,53.626288,112.530373,Yes,None,Not available,Available
"Barnes, Hernandez and Moss",Finance,23264,27123,-3859,-16.58786107290234,Donaldland,IA,85359,82.627957,-124.415182,Yes,Paid,Available,Available
"Lewis, Rios and Young",Finance,8338,22952,-14614,14.72,Adamsmouth,KS,19951,84.173402,-95.384877,Yes,Paid,Not available,Not available
Glenn Group,Finance,11023,4454,6569,25.17,Armstrongstad,HI,13181,16.389239,93.517570,No,Paid,Not available,Not available
Macias-Hernandez,Healthcare,54356,43139,11217,20.63617631908161,Carlsonfort,AK,22578,83.365176,-127.991301,Yes,None,Not available,Available
Smith Inc,Technology,18827,3609,15218,9.5,Lake Jamiebury,WV,09226,-22.106906,45.642790,No,Paid,Not available,Not available
Lambert Inc,Finance,75571,29054,46517,61.554035278082864,Burtonport,WY,83857,57.144408,-8.580121,Yes,Paid,Not available,Not available
Turner and Sons,Retail,36055,9773,26282,72.89418943281099,North Margaretburgh,CT,14219,25.659680,-96.014431,No,Free,Not available,Not available
Santiago-Lowery,Retail,21373,29786,-8413,-39.3627473915688,North Sharon,GU,25850,86.922310,-4.969399,Yes,Paid,Available,Not available
Copeland Ltd,Hospitality,95807,16527,79280,82.7496946987172,Singhfurt,OK,96765,58.529540,-98.626383,Yes,None,Not available,Not available
Martinez Inc,Healthcare,99282,45843,53439,53.82546685199734,Gilbertside,PR,63714,-19.973810,156.612109,Yes,None,Available,Not available
Williams-Lewis,Healthcare,8025,4711,3314,41.29595015576324,East Heidi,NJ,38364,-8.003358,103.801175,Yes,None,Not available,Not available
Collins PLC,Finance,29987,31428,-1441,-4.805415680128055,North Laurenport,NH,77081,16.635989,51.729554,No,Paid,Available,Not available
"Mccoy, Wagner and Garcia",Finance,43951,37780,6171,14.040636162999704,Whitechester,PW,66362,-21.450978,7.251049,No,None,Available,Not available
Williamson and Sons,Retail,13731,23146,-9415,-68.56747505644162,Lake Michelle,PA,20750,-1.294036,92.029025,No,Paid,Not available,Available
Odom PLC,Finance,44971,40001,4970,11.051566565119744,Jackbury,NH,20136,-82.529406,25.909917,No,Free,Available,Not available
Lopez-Olsen,Finance,3109,12100,-8991,-289.1926664522354,North Danielmouth,CT,25790,68.403631,129.525527,No,Paid,Available,Not available
"Lewis, Graham and Green",Technology,74433,32923,41510,55.76827482433867,Lake Judy,NH,27253,31.810914,95.697378,No,None,Not available,Not available
Mitchell-Williams,Healthcare,84239,17304,66935,79.45844561307707,New Kristinfurt,MA,96833,-48.769739,-32.719761,Yes,Paid,Available,Available
Gonzalez-Mccarthy,Hospitality,69740,15241,54499,78.1459707484944,Christopherchester,UT,69972,48.697114,-1.468041,No,Free,Available,Available
White-King,Finance,67068.25,47466,32039,40.29809445946796,South Thomasville,NY,30193,-70.926448,98.561206,Yes,None,Available,Available
"Henderson, Fowler and Smith",Finance,60790,14353,46437,76.38920875143938,Elizabethmouth,NJ,63635,-63.355404,83.221672,No,Paid,Not available,Not available
Henry LLC,Hospitality,36167,33611,2556,7.067215970359721,Graybury,WY,63078,45.298727,-124.219693,No,Paid,Not available,Available
Parker-Campos,Technology,51767,2305,49462,18.4,New Brenda,KS,31471,-27.530616,-30.274852,No,Free,Not available,Available
"Finley, Gomez and Anderson",Retail,7878,42142,-34264,-434.93272404163497,North Deniseland,NH,66612,6.386116,154.881265,No,None,Available,Available
Merritt PLC,Technology,60846,44041,16805,27.618906748183942,Lake Ericside,PA,65146,-86.613408,-71.445362,No,Free,Not available,Not available
Smith-Gray,Technology,31199,17089,14110,45.22580851950383,West Stephen,UT,32647,-3.596136,61.996386,No,Paid,Not available,Not available
Mccarty-Webb,Retail,84441,2024,82417,97.60306012482089,Jenniferberg,PW,42009,-76.485886,112.578353,Yes,Paid,Available,Not available
Jones-Campbell,Healthcare,41887,28518.4,12246,29.235801083868502,North Robert,GA,79494,57.260026,78.385059,No,Free,Not available,Not available
"Johnson, Mitchell and Flowers",Technology,99330,23814,75516,76.02536997885835,New Meganbury,VI,09389,13.320440,179.058828,Yes,Free,Available,Available
"Anderson, Snyder and Chapman",Retail,93522,12094,81428,87.06828339855863,Larryshire,VI,48926,-66.783744,-122.328701,Yes,Paid,Available,Not available
Campbell-Smith,Hospitality,97116,39211,57905,59.62457267597512,Lake Katherineburgh,IL,17901,-66.943118,130.216291,No,Paid,Not available,Available
"Cummings, Payne and Prince",Technology,16202,45978,-29776,-183.77978027404026,Andrewfurt,KY,13899,45.185557,56.636363,No,None,Not available,Available
"Johnson, Andrade and Juarez",Technology,70447,11808,58639,83.23846295796841,Russellstad,UT,27380,-20.705033,-66.447368,No,Paid,Available,Not available
"Miller, Jordan and Delgado",Healthcare,9861,29464.95,1090,11.053645674880844,Angelamouth,FL,30983,-38.507841,-151.006590,No,Free,Not available,Not available
"Hamilton, Hall and Gross",Retail,31540,31085,455,1.4426125554850984,Hansonville,MO,48653,-80.445794,-137.303768,No,Paid,Available,Available
Henderson-Yoder,Finance,82481,8719.93,65788,79.76139959505826,Dawnside,OR,73285,-51.706764,-105.196289,Yes,None,Available,Available
James PLC,Hospitality,74012,5599,68413,92.43501053883153,Port Rickymouth,MI,17921,-68.005892,-34.770674,Yes,Free,Available,Not available
"Garcia, Brooks and Robertson",Healthcare,62563.66,18882,77477,80.40452889714506,Brownshire,AZ,09655,81.247701,-22.288823,No,None,Not available,Not available
"Miller, Perez and Jordan",Finance,75147,48129,27018,35.953531079084996,Lake Alison,TX,12164,27.065542,-121.398939,No,Free,Not available,Available
"Castillo, Morris and Schneider",Healthcare,72540,7960,64580,89.02674386545354,Lake Jessicaton,TX,48473,11.182015,-81.257979,Yes,Free,Available,Available
Jones Inc,Finance,28476,27221,1255,4.4072201151847175,Palmerfurt,OR,27770,55.272270,-60.324405,No,Paid,Not available,Not available
Butler-Mack,Retail,2538,48203,-45665,-1799.251379038613,Lake Tracy,NV,01570,1.033710,-178.774980,No,None,Not available,Available
Wall PLC,Retail,82066,13454.67,75959,92.55842858187313,Christopherbury,SC,74691,33.412522,-30.598867,Yes,Paid,Not available,Not available
Figueroa Ltd,Retail,38301,16840,21461,56.032479569724025,Laurafort,PR,85481,57.347932,-10.154958,Yes,Paid,Not available,Not available
Wade-Davidson,Technology,52704,42141,10563,20.04212204007286,Martinezview,DC,95610,-83.723458,-17.130776,Yes,Free,Not available,Available
Shea LLC,Healthcare,79896,22134,57762,72.29648543106038,North Derek,FL,72835,36.810748,-58.626693,Yes,Free,Not available,Available
"Hodge, Patrick and Yoder",Hospitality,20764,38116,-17352,21.7,North Jessicafort,CT,93801,77.607022,107.855617,Yes,None,Available,Available
Barker Inc,Healthcare,51354,35579,15775,30.718152432137714,Port Jaclyn,MS,82678,-14.666323,-69.929112,No,None,Not available,Not available
Adams-Barnett,Retail,10154,34210,-24056,-236.91156194603113,West Victoriafort,NV,51059,73.488177,158.758933,Yes,Paid,Not available,Not available
Miller-Cain,Technology,93560,37312,56248,60.119709277469,South Bretttown,MS,04906,-89.999374,-54.390365,No,None,Not available,Available
Thompson and Sons,Healthcare,31827,41824,-9997,-31.410437678700475,South Carlos,FL,45620,-47.445678,-0.426268,No,Free,Not available,Not available
Nelson LLC,Healthcare,50217,36884,13333,26.550769659677005,Keithhaven,WA,72293,-86.229508,-51.791481,Yes,Paid,Not available,Available
"Salas, Brown and Davis",Hospitality,6681,37669,-30988,-463.8227810208052,Contrerasfort,HI,98800,3.607440,40.938360,Yes,Paid,Available,Not available
"Reynolds, Brown and Wolfe",Hospitality,61902,13837,48065,77.64692578591969,New Amy,GU,07449,6.121445,175.203269,Yes,Free,Available,Not available
"Brennan, Weber and Conner",Retail,27278,40585,-13307,-48.78290197228536,West Robertoshire,PA,37394,74.327134,-120.535198,Yes,None,Available,Not available
Pratt-Simpson,Retail,83212,20510,62702,75.35211267605634,Reedburgh,NE,44078,-40.484880,-114.685801,No,Free,Available,Not available
Morgan and Sons,Technology,6947,43335,-36388,-523.7944436447387,Jeffreyfurt,MT,30774,51.756292,-97.864797,Yes,Free,Available,Not available
King-Washington,Healthcare,35101,10444,24657,11.51,Port Jeffrey,FM,94417,-57.887336,165.747573,Yes,Paid,Not available,Available
Sanchez-Chavez,Finance,90748,39074,51674,56.94230175871644,South Brianna,NH,19285,-87.191131,-21.065553,No,None,Available,Not available
"Edwards, Adkins and Hart",Healthcare,49892,10135,39757,79.68612202357092,South Charlesmouth,KS,23361,60.361105,-146.659249,Yes,Paid,Available,Available
Ray-Moore,Technology,47598.29,7336,49499,87.09246063165304,Gonzalezstad,AR,27553,0.074112,68.736191,Yes,Free,Not available,Not available
"Rose, Francis and Robinson",Hospitality,10748,29753,-19005,-176.82359508745813,Zhangfurt,KS,87903,61.264127,71.255814,No,None,Not available,Not available
David-Myers,Healthcare,70349,4810,65539,93.16266045004194,New Amandaview,UT,81131,63.854440,137.340322,Yes,None,Available,Available
Kelley Inc,Retail,52001,17400,34601,66.53910501721121,New Alexisborough,UT,99422,-61.279756,139.593049,Yes,Free,Not available,Available
Ramirez Inc,Finance,88932,34816,54116,60.85098727117349,Thomaschester,FL,69748,33.519694,146.335589,No,Paid,Available,Available
Patterson and Sons,Retail,92822,19505,73317,78.98666264463165,North Timothyfort,LA,95398,59.514176,-141.176024,No,None,Not available,Available
"Turner, Casey and Brown",Finance,51482.46,2984,15827,84.13694115145394,Marytown,FL,58105,60.320736,-4.708872,Yes,Paid,Available,Not available
Nelson Ltd,Technology,62577,17729,44848,71.66850440257603,New Danielbury,MO,56565,-84.939038,59.331441,Yes,None,Not available,Available
Williams Group,Healthcare,54180,48039,6141,11.334440753045403,Port Jenna,DC,51349,-62.651680,131.646418,Yes,Free,Available,Not available
Hunt Ltd,Hospitality,97277,-2845.26,56616,58.2008080018915,Alexanderburgh,DE,77541,37.764618,-84.749960,No,Free,Available,Not available
"Patterson, Frazier and Cook",Hospitality,29792,3407,26385,88.5640440386681,Port Joel,PW,12511,38.034352,96.201382,No,Paid,Not available,Not available
"Wright, Becker and Trujillo",Technology,40723,40210,513,1.2597303734990055,Sallychester,OR,08048,-11.927656,163.045252,No,None,Not available,Available
Ford-Estrada,Finance,90855,43860,46995,51.725276539541035,East Monica,NY,03344,-63.103116,-91.480284,No,Paid,Not available,Not available
Benton PLC,Technology,64603,14622,49981,77.36637617448106,Simpsonborough,NY,38360,29.269575,4.358521,Yes,None,Available,Not available
Reed Inc,Healthcare,37862,6781,31081,82.09022238656173,New Lawrenceside,MH,45437,-35.498992,126.315060,No,None,Not available,Available
Hall-Franklin,Hospitality,4610,42838,-38228,-829.240780911063,West Julieshire,OR,41109,48.970426,-168.874916,Yes,Free,Available,Not available
Leonard-Austin,Healthcare,44917.7,18130,40320,68.98203592814372,South Cynthiashire,RI,55379,34.996252,104.189446,Yes,None,Not available,Available
Best-Mclaughlin,Finance,18887,48791,-29904,-158.3311272303701,Lloydshire,FM,42680,24.034440,-147.645757,No,None,Available,Not available
Dorsey-Steele,Retail,27538,29180,-1642,-5.962669765415063,Harrischester,WV,54974,-52.053710,-12.438272,No,None,Available,Available
Gaines LLC,Retail,37914,41985,-4071,-10.737458458616869,Rebekahhaven,MN,47469,-85.504886,33.324750,No,Free,Available,Not available
Jones-Carter,Healthcare,42471,36980,5491,12.92882201973111,South George,NH,19270,-21.517614,-75.774031,Yes,None,Available,Available
Martinez Inc,Healthcare,24226,14117,10109,41.727895649302404,New Emilyshire,ID,23667,29.274638,-154.055254,No,Paid,Available,Not available
Gomez-Welch,Technology,55012,21922,33090,60.15051261542936,Thomaschester,NM,33286,69.696135,-7.957870,No,None,Not available,Available
"Phillips, Todd and Whitaker",Hospitality,34910,47134,-12224,-35.015754798052136,North Samuel,OR,01534,3.960607,79.047075,No,None,Not available,Available
Davidson Group,Hospitality,79141,16230,62911,79.49229855574228,North Benjamin,OR,08957,88.422977,-140.876233,No,None,Available,Not available
Evans and Sons,Hospitality,5689,6670,-981,-17.243803831956406,Griffinport,WI,72070,22.188054,-143.948516,Yes,None,Available,Available
Oconnor-Green,Hospitality,13905,14408,-503,-3.6174038115785687,South Ronaldstad,RI,59253,-63.917626,-6.372969,No,None,Available,Available
Peck Ltd,Retail,80532,35797,44735,55.54934684349079,Davidmouth,CO,37388,-74.704500,153.111207,Yes,Free,Available,Available
"Brown, Hill and Phillips",Finance,85602,24016,61586,71.944580734095,Port Davidtown,FL,03923,33.955190,71.019385,Yes,Paid,Not available,Available
Perry Ltd,Finance,87199,19244,67955,77.93093957499512,Shepardburgh,ME,94119,-36.660150,-67.118281,Yes,Free,Not available,Not available
Brown-Conner,Technology,94435,25152,69283,73.36580716895219,Marytown,ID,63993,57.641114,-9.977638,No,Paid,Available,Not available
Wilson-Jackson,Retail,28803.02,23318,76193,76.56741465767604,Leport,NM,92314,27.534710,141.191037,Yes,Paid,Not available,Available
King PLC,Healthcare,67988,2640,65348,96.1169618167912,Heatherfort,NC,09668,46.946060,99.420599,No,Paid,Not available,Not available
"Valdez, Brown and Estrada",Hospitality,21855,33019,-11164,-51.082132235186464,Angelamouth,DC,39730,63.587772,-175.720692,No,None,Available,Not available
Allen-Wade,Technology,6641,20773,-14132,21.08,North Donaldton,RI,92486,77.154084,-56.629937,No,Free,Available,Available
"Barr, Bailey and Moore",Retail,85154,946,84208,98.88907156445968,Pagefort,GU,28373,31.568514,145.376756,Yes,Paid,Not available,Not available
Richardson and Sons,Healthcare,45931,46483,-552,-1.2018027040560841,Mccarthystad,NE,26034,-48.878264,-87.684846,Yes,Free,Available,Not available
Bell PLC,Retail,76778,18425,58353,76.00224022506448,North Phillipshire,SC,73037,-44.674904,-26.942785,Yes,Free,Available,Not available
Cobb-Franklin,Finance,16654,29029,-12375,-74.30647291941875,Karaberg,CT,92669,54.161755,137.648445,No,Free,Not available,Available
Baker-Maxwell,Healthcare,7340,28900,-21560,-293.732970027248,North Ricardo,VA,52812,-71.787431,-25.860491,No,Paid,Not available,Available
Garcia Inc,Retail,20644,3931,16713,80.95814764580508,Port Donald,OH,39220,77.167211,156.212063,No,Paid,Not available,Not available
"Tran, Tucker and Scott",Hospitality,31817,17879,13938,43.80676996574158,New Andrea,HI,12220,15.101325,-71.997664,Yes,Free,Available,Available
Welch Inc,Finance,62299,39531,22768,36.546333006950356,Danielton,KS,14619,68.235403,116.191100,No,None,Not available,Available
"Marshall, Hicks and Anderson",Hospitality,34189.56,40266,4257,9.561350313321205,North Virginiastad,MD,12757,89.666410,-98.781327,Yes,Paid,Not available,Available
Ford-Mays,Technology,76940,28330.09,65309,84.88302573433845,Lake Alexandraland,KS,76598,-42.449804,-85.411714,No,Paid,Not available,Not available
Taylor-Carter,Finance,20324,20445,-121,-0.5953552450305057,Port Michelleborough,RI,88767,-5.130350,35.945107,No,None,Not available,Not available
