BusinessName,Category,Rating,ReviewCount,Price,City,State,ZipCode,Latitude,Longitude,IsOpen,Wifi,OutdoorSeating,Delivery
"Ramirez, Anderson and Davis",Cafe,3.92,474,622.6904089,Daystad,AS,28439,69.49171,-108.946958,Yes,None,No,Yes
"Smith, Sherman and Wilson",Hotel,3.11,259,233.5327577,Kevinfort,AK,69540,-12.5598515,24.925348,No,Free,No,Yes
Thomas Ltd,Bar,3.21,157,498.4770684,Perezhaven,NY,97167,-73.298866,-170.203929,Yes,None,Yes,Yes
Christian-Williams,Cafe,3.8,778,320.1918123,New Kelsey,WA,59860,85.7235335,4.03872,Yes,Paid,No,Yes
Brown Inc,Hotel,2.51,562,970.6058575,Clarkview,NM,49099,32.705237,95.533878,Yes,Paid,Yes,No
Moore-Clark,Hotel,2.26,105,779.8745865,Fowlershire,NM,94285,41.126362,-130.019908,Yes,Paid,Yes,Yes
Avila Inc,Bar,1.11,168,365.0734273,Amymouth,VI,74809,0.8668815,-96.043023,Yes,Paid,No,No
Thomas PLC,Bar,1.53,871,730.4993197,Port Kellybury,AZ,76538,53.6068115,-119.363855,Yes,Free,No,Yes
Wilkinson-Davis,Bar,1.5,633,617.1471747,Shawnshire,NY,25655,41.837965,-11.733646,No,None,Yes,Yes
"Morris, Lopez and Livingston",Bar,4.61,961,147.0990217,Tuckerport,PW,40668,60.817512,-55.695634,No,Free,No,Yes
Lowery-Stewart,Gym,4.47,942,688.4511253,East Kathrynfurt,WI,49747,-18.923541,-112.51409,Yes,Paid,Yes,Yes
Sosa-Farley,Cafe,4.26,534,766.5736638,New Deborah,WY,21161,-81.4572755,133.656617,Yes,None,Yes,Yes
"Wiggins, Stevenson and Oliver",Restaurant,1.29,888,286.8270421,North Amyville,FM,11227,-50.256119,54.215588,No,Paid,Yes,No
Stanley-Morris,Cafe,3.88,775,765.6256159,North Josephmouth,OK,93441,40.033441,19.605255,No,None,Yes,No
Johnson-Herman,Gym,4.52,279,977.6872922,Quinnstad,TX,76046,22.784871,85.672835,Yes,Paid,No,No
Nicholson and Sons,Hotel,3.73,767,270.3162174,Mckaychester,KY,66968,81.635199,-118.384474,No,None,Yes,Yes
Williams-Atkinson,Cafe,2.69,774,306.5542469,Rebeccahaven,MS,26107,-56.7645685,132.393173,Yes,Free,Yes,No
Petersen Ltd,Gym,1.8,761,162.026141,Jefferyfort,PR,39235,78.2668575,-154.116319,Yes,Paid,Yes,Yes
Grant Ltd,Bar,4.03,782,142.3851411,Rodgersborough,OH,23064,-9.778497,-48.632414,No,Paid,Yes,No
Marshall-Brown,Gym,4.8,921,652.2914914,Hooverburgh,IL,48958,27.4893795,-127.334073,No,None,No,Yes
"Fields, Coffey and Logan",Gym,2.14,608,671.3216307,North Isabel,FL,72185,45.5629285,151.93806,No,Free,Yes,Yes
Melton-Hayes,Bar,1.02,392,882.1615022,Victorland,PA,60475,27.2351395,-33.042373,No,Free,Yes,No
"Davenport, George and Long",Cafe,3.31,27,474.8667925,East Jamestown,TX,99282,-75.5409305,-9.916411,Yes,None,Yes,Yes
Jimenez Inc,Hotel,4.59,806,236.4714063,North Seanmouth,NM,37130,7.8752075,21.526516,No,Paid,No,Yes
Vega Group,Restaurant,1.78,94,999.4010374,Glennport,TN,50070,67.3603765,111.068566,Yes,Paid,No,Yes
Walker-Gordon,Gym,4.4,78,750.5424497,North Michaelstad,DC,12558,45.220932,149.28792,No,Free,Yes,No
Garcia Inc,Gym,2.13,149,775.7763173,Grayborough,ME,92386,2.4379195,-4.614268,Yes,Free,No,Yes
Scott and Sons,Bar,3.41,647,815.9033982,Archerbury,IN,55929,-36.962581,-138.326038,Yes,Paid,Yes,Yes
"Sosa, Hall and Watson",Restaurant,2.77,948,927.9925224,Loganville,DC,77634,-28.93763,90.69841,Yes,Free,Yes,No
Kane-Ellis,Cafe,2.48,979,222.204342,Georgefort,NC,28557,3.9773315,172.946317,Yes,Paid,No,Yes
"Brown, Long and Chang",Restaurant,1.54,120,880.9535168,Christinafort,ID,81740,-8.99919,-101.047769,Yes,Paid,Yes,No
"House, Rose and Le",Hotel,3.62,426,927.3502429,Port Kenneth,IL,4015,68.2459125,-108.499259,Yes,None,No,Yes
"Koch, Holmes and Garrett",Gym,2.2,109,396.1200455,West Charlestown,NJ,21077,53.428554,131.701737,No,Paid,No,Yes
Johnson-Harris,Hotel,2.71,92,441.5906441,East Tony,FL,51815,-12.527113,-141.180436,No,None,No,Yes
Morgan Inc,Cafe,2.24,322,217.6008466,West Theresa,WY,9739,-82.2772635,95.053657,Yes,Free,No,No
"Torres, Hunter and Garcia",Restaurant,4.34,661,379.2357245,South Michael,ME,6850,41.7100035,47.108263,Yes,None,No,Yes
Harris-Mitchell,Cafe,3.09,840,743.6339196,South Elizabethfurt,MT,19981,-10.069308,-68.217342,Yes,Paid,No,Yes
Cook-Vargas,Restaurant,2.92,301,586.8474249,Benjaminview,NE,24044,-49.4141615,-36.228584,Yes,Free,Yes,Yes
"Stanley, Vazquez and Mcmillan",Gym,3.05,76,315.1299896,West Angelafort,AK,80856,83.004836,45.861727,Yes,None,Yes,Yes
Ray and Sons,Bar,3.2,704,284.2651169,Gregoryfort,MH,73895,-40.4180395,123.785688,Yes,None,Yes,No
Silva Ltd,Gym,4.43,828,230.1685406,North Nicole,FL,24130,8.14386,108.464801,Yes,Free,No,No
Elliott-Patton,Restaurant,2.17,756,950.6206076,East Paula,MA,78448,88.7451225,171.693031,No,Paid,No,No
Ross-Allen,Bar,4.03,249,301.3160784,Morganside,NM,7633,-85.1713405,76.423538,No,Free,No,Yes
Johnson LLC,Hotel,3.08,739,625.2773159,Patricialand,KS,11100,73.87875,-68.264905,No,Free,No,No
Martinez and Sons,Cafe,1.53,87,740.3101825,West Matthewberg,VA,42917,38.517667,44.926863,No,Paid,Yes,Yes
Washington-Medina,Restaurant,1.02,181,436.4408236,North Lynntown,TX,97817,79.263258,154.857069,No,None,Yes,No
Morgan-Smith,Gym,4.05,763,268.9956572,South Joseside,MH,33444,-48.7870785,-77.954252,Yes,None,Yes,Yes
Callahan-Wilson,Restaurant,3.78,424,394.6916146,Port Jacob,NJ,30038,17.7537885,-113.434788,No,Paid,Yes,Yes
Garcia Ltd,Bar,2.09,613,642.1116046,Taylorport,ND,96452,41.781993,-157.363857,No,None,Yes,Yes
Martinez Ltd,Restaurant,3.82,886,108.966208,Conradbury,SC,15246,4.361127,-13.147822,No,Free,Yes,Yes
Johnson Group,Cafe,1.26,919,899.5488441,Port Seanland,CA,52561,-87.022594,-49.667323,No,Free,Yes,No
Taylor-Chen,Bar,1.91,74,598.7871099,Crystalborough,NV,44179,-45.332213,139.246275,No,None,Yes,No
Reid-Arnold,Bar,4.54,532,975.7415296,Randallmouth,TN,21896,-56.450739,-25.311492,No,Paid,Yes,No
Soto PLC,Hotel,4.21,127,459.6494281,Nicholasville,NJ,20588,67.0372515,-82.896648,Yes,Paid,No,Yes
Crawford Group,Bar,4.7,400,780.857047,Port Lisaview,MH,48081,-61.504541,74.353167,Yes,Paid,Yes,Yes
"White, White and Snyder",Gym,2.15,430,407.9536999,Lake Dominique,PW,55538,26.1550895,104.3158,No,None,No,No
Hardy LLC,Cafe,2.56,482,444.2007936,Lake George,ND,60095,-32.7644165,34.278383,Yes,Paid,Yes,Yes
Brown-Schroeder,Hotel,1.28,884,191.1953567,Johnsontown,ME,1515,-18.658025,-55.239243,No,None,No,No
Brown-Watts,Gym,1.26,346,663.8758651,Jonathanchester,MO,82327,-3.467242,-71.537798,No,None,Yes,No
Dixon LLC,Hotel,2.19,892,572.5687756,Bobbymouth,VT,97392,19.6218445,-165.570386,No,Free,Yes,No
Frazier-Woodward,Restaurant,4.12,447,679.4083861,Hoganchester,VA,87209,38.2533785,39.522698,Yes,Paid,No,No
Harvey-Williams,Cafe,3.4,605,993.4345398,Martinport,VA,59114,-82.1493075,-168.534106,No,None,No,No
"Oneill, Drake and Dean",Restaurant,4.48,102,422.244495,South Daniel,FM,85936,-18.530275,-53.100848,Yes,Paid,No,Yes
"Jacobson, Hughes and Baker",Restaurant,2.65,869,857.6294017,South Melanie,CA,56655,-16.981133,-128.710714,No,Paid,No,No
"Haney, Deleon and Jones",Gym,4.8,355,257.6644398,South Ashley,MP,85603,-52.308304,138.178765,No,None,Yes,No
"Collins, Ramirez and Bailey",Cafe,4.97,675,364.0097398,West Kellyshire,TN,34770,-17.4582155,-145.075575,No,Free,Yes,Yes
Clark Group,Cafe,2.85,91,335.1718995,Andersenland,TN,57711,55.8483735,-170.756996,Yes,Free,No,No
Jacobs and Sons,Cafe,3.37,748,721.0050081,Petersonview,NE,44038,81.1788945,-24.62323,No,None,Yes,No
Holmes-Phillips,Gym,4.69,137,804.6355147,Donnaview,AR,88583,73.319277,-79.637307,No,Paid,Yes,Yes
"Walters, Tanner and Cordova",Cafe,2.2,881,587.3998113,North Williamchester,MN,89748,65.6047185,-118.880688,No,Free,Yes,No
Moore-Jackson,Hotel,2.33,414,355.6358116,Andrewstad,GU,92156,38.774458,-5.998006,No,Paid,No,Yes
Richardson and Sons,Hotel,4.09,58,261.5717764,Hernandezfurt,KS,93651,-16.0535625,4.613434,No,None,No,Yes
Lyons-Wang,Gym,2.71,803,201.7435668,Conwaytown,IL,1165,29.231315,68.183776,Yes,Free,Yes,No
James Inc,Cafe,3.56,580,948.2804682,Williamfort,RI,98965,-9.180701,-29.549504,Yes,Paid,No,Yes
"Keith, Pearson and Ward",Hotel,2.06,895,937.1978056,West Marthachester,ID,13606,26.3180245,14.824172,Yes,Paid,No,No
Lowery-Stanley,Cafe,3.66,603,123.2324349,Tamarafort,ND,67796,-16.8167345,161.406513,Yes,Paid,Yes,Yes
Williams-Short,Gym,1.91,926,441.5315684,West Gregoryshire,AS,85886,57.3619195,156.7077,Yes,None,Yes,Yes
Wilcox-Schmitt,Bar,4.69,991,533.1141952,West Tracy,UT,35697,1.125052,-118.719364,Yes,Paid,Yes,Yes
Cisneros-Peters,Restaurant,4.93,431,563.6484407,Johnsonside,CT,69160,61.687379,-132.734526,Yes,Paid,Yes,No
Mcdonald Ltd,Restaurant,3.51,938,625.3483493,Frenchside,MA,39045,-23.453147,-10.906112,Yes,Paid,Yes,Yes
Gray-Schaefer,Cafe,2.19,914,626.8142169,Haroldchester,WI,19231,42.72105,-7.48512,No,None,No,No
Williams-Jones,Gym,4.64,504,153.7265619,New Judy,PR,1654,34.388393,148.958925,Yes,Free,Yes,No
Morris and Sons,Hotel,1.89,556,521.9326581,Vasquezview,NY,2151,56.7504505,-98.000621,Yes,Free,No,Yes
Yang-Cervantes,Gym,2.33,999,625.9657629,Lake Brandyport,PR,82448,60.117521,-69.61741,No,Paid,No,No
Waters-Rivera,Cafe,4.08,224,548.7076867,Jenniferstad,KY,92061,-6.709371,143.610384,No,Paid,No,No
"Hall, Warren and Owens",Hotel,4.32,541,315.838157,Nicoleborough,CO,64420,-24.068699,-17.901435,No,None,Yes,No
Mayo-Smith,Restaurant,1.01,662,203.9903983,Smithburgh,IL,20618,42.6025515,111.271348,Yes,Free,No,No
Jackson-Gay,Bar,3.86,220,833.2278235,Gailfort,KS,3352,75.024151,103.18714,Yes,Paid,No,Yes
Wang and Sons,Restaurant,1.59,775,987.4330406,Garrettfort,AR,52749,75.5156395,-141.729619,Yes,Free,No,No
Boyd-Morgan,Restaurant,4.6,858,862.5610853,New Nathanborough,DC,1089,-48.266192,154.326779,No,Paid,Yes,Yes
Gallagher Ltd,Hotel,2.96,50,752.0235668,Dianastad,KY,9994,-40.930626,-11.745745,No,Free,Yes,No
Wood PLC,Restaurant,2.99,135,602.5268898,Danielmouth,VA,50717,-87.349698,59.043115,Yes,Paid,Yes,Yes
"Allen, Hernandez and Wilson",Restaurant,3.38,135,319.6186584,East Nicoleton,IL,69373,52.75301,175.89507,Yes,Free,No,No
"Hernandez, Stanley and Love",Bar,2.6,348,563.1574798,North Reginatown,CT,81983,-26.2664025,48.324203,Yes,Free,Yes,Yes
Berg and Sons,Bar,3.34,550,925.6263027,Allenbury,ND,65303,58.192103,-108.047195,Yes,Free,No,No
Bell and Sons,Restaurant,1.4,499,187.2568849,Smithfurt,AS,69762,53.376466,22.518847,Yes,Paid,Yes,Yes
Duarte-Williams,Bar,2.06,703,618.1234396,New Emilystad,DC,88530,-51.647238,86.215651,Yes,Free,Yes,No
Hunt Ltd,Hotel,4.86,906,700.997205,West Kari,MA,75424,30.2880655,-31.212096,No,Free,Yes,No
Kerr PLC,Restaurant,2.96,117,713.8735311,Port Stacy,MO,5426,-82.461045,-121.947045,Yes,None,Yes,No
"Gregory, Garner and Robbins",Cafe,2.73,147,721.8106424,Morganstad,AS,89907,29.0979325,-60.830201,No,None,No,No
"Phillips, Rocha and Santos",Restaurant,1.78,520,725.7365298,Kleinside,AZ,7232,-45.2790375,126.308456,Yes,Free,Yes,No
"Morgan, Levine and Walters",Bar,3.26,832,441.3124838,Kristinaborough,CO,80491,-44.14387,65.171764,No,None,Yes,Yes
"Ho, Mckinney and Clark",Restaurant,3.4,692,274.3287186,East Mikeville,MI,45531,-11.045892,-43.848601,Yes,Free,Yes,No
Daniel Group,Bar,4.39,770,748.0874121,New Brettton,MD,52073,26.0259385,85.669489,Yes,Free,No,Yes
"Aguilar, Lynch and Ray",Bar,1.05,416,369.5826483,New Ricardoberg,MN,5666,86.024978,118.65593,No,None,No,No
Holloway Inc,Hotel,2.63,906,567.0305129,South Mauriceland,FM,84636,50.969761,106.477984,No,None,No,No
"Miller, Walker and Nguyen",Hotel,1.58,535,659.4631054,New Danielbury,SD,43810,-48.1222865,-32.980393,Yes,None,Yes,Yes
Brown and Sons,Bar,4.59,520,766.854205,Martinezmouth,WI,6049,-48.4408855,-164.771048,No,Free,Yes,Yes
Rowland-Ramirez,Bar,4.48,614,188.9211506,Brownland,WY,9109,18.8492685,95.414063,No,Free,Yes,Yes
Owen-Simon,Gym,2.04,237,291.0123009,New Maria,NJ,95590,71.5744925,-46.374451,Yes,Free,Yes,No
Wilson Ltd,Gym,3.48,242,587.4683927,Andersonberg,MD,95479,-17.5385325,-17.787944,No,Paid,Yes,No
Bailey-Taylor,Cafe,3.24,47,314.5816006,Port David,NJ,51229,32.942237,23.654436,No,Free,No,No
Sanchez Group,Hotel,2.26,401,906.7328678,Marshallburgh,MH,6809,-33.816438,8.586815,No,None,No,Yes
Dennis Group,Bar,1.69,398,251.7625728,Curtisfurt,NH,90860,-8.250554,-159.298409,Yes,None,No,No
Mcguire PLC,Hotel,1.37,608,426.1098888,Hobbsburgh,SC,89295,-3.019806,77.679014,Yes,None,No,No
Murphy-Adkins,Gym,3.4,735,278.484222,Heiditown,AR,82566,17.9913915,-6.670902,Yes,None,Yes,No
"Lee, Ramos and Gordon",Bar,2.31,41,249.0920661,South David,NJ,28602,-76.4141195,-9.290524,No,Paid,No,No
Collier-Cunningham,Cafe,4.83,400,725.8847615,Lisaview,NV,57496,-62.768417,129.644659,No,Paid,No,No
Ramsey Ltd,Bar,1.42,81,492.6381151,Lake Brandon,WI,98124,3.083482,157.993399,No,None,Yes,Yes
Andrews-Ellis,Bar,4.5,95,455.067011,Davisland,WY,81302,-35.2855855,-177.435391,Yes,Paid,No,Yes
"Miller, Barajas and Juarez",Bar,4.62,204,962.430733,Davismouth,RI,59064,85.788064,-87.26139,Yes,Paid,No,Yes
Hurley-Buchanan,Bar,2.57,382,978.7937111,South Scott,ME,52033,52.338768,-127.577551,No,Free,Yes,Yes
Erickson-King,Restaurant,3.27,76,139.910681,Port Joannamouth,NC,50187,79.6521015,-61.318198,No,Free,Yes,Yes
Dixon Inc,Cafe,3.32,607,181.0150308,South Norma,UT,23175,27.510742,74.79646,Yes,Paid,Yes,No
"Riddle, Waller and Fitzpatrick",Bar,1.55,741,775.0742703,Mccarthyberg,MT,51110,1.0379825,115.610256,No,Paid,Yes,Yes
Garcia and Sons,Hotel,3.04,3,129.4631901,Port Daniel,MS,89704,-28.58579,-7.668375,Yes,Paid,No,Yes
White Ltd,Gym,2.65,797,359.9220697,Lake Nancy,ME,39303,-62.9154225,-24.207477,Yes,Paid,No,No
"Cardenas, Miller and Silva",Restaurant,1.1,107,638.9938889,New Barbara,RI,81103,-25.0168995,132.873585,No,Free,No,No
"Johnson, Scott and Walker",Gym,4.15,893,411.8574029,North Brianbury,DE,96883,-36.4371755,128.074952,Yes,Paid,Yes,No
Walker Ltd,Restaurant,2.12,968,995.6510828,Mackborough,NC,9886,72.2936465,-135.99909,No,Paid,No,Yes
"Rhodes, Russo and Richards",Cafe,1.81,519,808.9880602,West Madelineland,GA,48371,62.1384365,9.319465,No,Paid,No,No
"Wilson, Berry and Rodriguez",Bar,2.72,548,601.626498,Denisehaven,PW,53705,-44.886086,-55.597927,No,Paid,Yes,Yes
Miller-Cortez,Cafe,1.68,965,539.6615698,Port Tylerton,OH,4817,6.168682,-8.964387,Yes,Paid,No,Yes
Gomez-Cameron,Gym,3.06,173,206.1549323,North Phillip,NH,91771,20.2907215,-89.032199,No,None,Yes,No
"Burns, Harris and Valentine",Gym,2.21,975,696.4895591,Taylorview,IL,71713,40.1401215,126.672569,Yes,Paid,Yes,No
Meadows PLC,Bar,3.37,608,127.0098723,South Michael,AK,51523,-46.5584355,134.201172,No,Paid,No,Yes
Thomas-Parker,Hotel,3.72,123,384.3466991,Josephhaven,GA,11105,-56.855589,84.815107,Yes,None,Yes,Yes
Francis-Robbins,Cafe,1.82,147,128.9081432,East Robert,MT,33376,-61.9318765,-80.067076,Yes,Free,Yes,Yes
Marshall Inc,Bar,2.18,150,170.3086701,West Deborahhaven,AL,30419,-30.623889,-38.827025,No,Paid,Yes,No
"Krause, Medina and Parker",Hotel,4.7,458,148.8021142,East Rachel,VT,16815,-1.4743765,129.654775,Yes,Paid,Yes,No
Coleman-Wu,Restaurant,3.22,843,787.1869706,Gregorymouth,NJ,10920,-36.8135725,-106.439479,Yes,None,Yes,No
Hayes PLC,Cafe,4.95,664,837.5396016,West Kim,DC,11327,45.710134,140.909251,Yes,Paid,No,No
Taylor-Abbott,Bar,4.78,335,152.8151879,Lake Zoeland,IN,58663,-50.7374245,-169.860831,Yes,None,Yes,No
Williamson-Watts,Restaurant,3.87,127,964.0753991,Payneberg,MS,64154,-25.740214,53.47567,No,Free,No,No
Wilcox-Dunn,Gym,3.11,32,941.1174234,Gabrielburgh,IL,59031,-9.2950725,-118.285523,No,Free,Yes,Yes
"James, Brooks and Dixon",Gym,3.42,26,346.3815891,Lunashire,IN,74553,49.8793595,103.058343,No,Paid,No,Yes
Perez-Mcclain,Hotel,3.5,19,978.5233688,North John,ME,30598,-65.9601835,85.937793,Yes,None,No,Yes
"Morrison, Harris and Thomas",Hotel,3.12,158,866.1454946,South Susanstad,ND,18361,78.2958385,-84.2668,No,Free,No,Yes
Richardson Group,Hotel,4.87,907,517.8314068,Johnbury,UT,26049,74.4176915,154.011134,No,Free,No,Yes
Russell-Rodriguez,Cafe,2.61,870,161.5999623,South Carrie,IN,89661,-53.7114235,-134.440978,No,Free,Yes,Yes
"Ross, Trevino and Sullivan",Hotel,4.69,964,691.1419571,Brandiview,MI,67800,-67.755474,67.860462,No,Paid,Yes,No
"Haney, Evans and Brown",Restaurant,1.52,919,847.1423749,Saraton,AR,39650,85.3190395,-63.089753,Yes,Paid,Yes,No
Carter-Meyer,Cafe,2.04,125,806.2851132,Garciashire,AS,62298,-67.514402,121.293249,No,Free,Yes,Yes
Lee-Brooks,Cafe,3.7,283,445.3470612,North Kevinberg,SC,97131,-50.1283245,-50.384266,No,Paid,Yes,Yes
Blackburn-Barrett,Hotel,4.07,158,982.1427901,Lake William,FL,38425,-64.8426225,33.663657,No,Free,Yes,Yes
Duran-Case,Bar,4.16,606,284.1177991,Leonardport,CA,34877,-42.4183075,-124.98541,Yes,Paid,Yes,Yes
Scott-Garcia,Gym,4.88,839,406.2135881,West Raymondfurt,PW,68745,-30.645359,156.671289,No,Paid,Yes,Yes
Frederick-Brown,Hotel,2.14,535,447.7140131,East Ryanchester,CA,32292,38.6492025,-12.091805,Yes,Paid,No,Yes
Foster-Stephens,Bar,3.15,544,346.1190572,Lake Christopher,DC,8637,18.824276,11.035199,Yes,Free,Yes,Yes
Lambert and Sons,Restaurant,4.2,783,892.0525419,Port Melissashire,IN,42734,-9.976414,-78.339895,No,Paid,Yes,No
Sanchez LLC,Cafe,2.31,93,768.973398,Franklinburgh,MT,66650,88.4708745,70.717007,Yes,Paid,Yes,Yes
Chambers-Williams,Restaurant,1.66,456,163.4117907,Williammouth,IL,20396,-67.351627,-102.476068,Yes,Paid,No,Yes
"Holt, Rodriguez and Sanchez",Restaurant,3.73,124,816.7651806,Port Jameston,LA,13623,-0.0885305,104.325927,No,None,Yes,No
Werner-Jacobs,Restaurant,4.46,915,933.0781001,Tinaton,IA,19073,-23.4717655,-77.226113,Yes,Free,No,Yes
Long Group,Bar,3.36,956,679.246159,Fergusonton,MH,50145,55.8238345,-122.044675,No,Paid,Yes,Yes
Delgado-Gates,Gym,2.32,992,434.6910115,Reidchester,SC,44342,-14.998568,-64.188271,Yes,Free,Yes,Yes
Lee-Clark,Bar,2.39,159,158.9229721,Tiffanyview,WI,43606,12.391384,91.09046,No,None,No,Yes
Hall-Nixon,Hotel,3.4,800,268.6479513,West Timothystad,AL,16594,26.839305,159.177827,Yes,Free,Yes,No
Santiago Ltd,Cafe,4.39,682,884.1844647,Branchfurt,PA,32187,23.462486,38.188376,No,Free,Yes,Yes
Hernandez Inc,Restaurant,4.5,895,884.5957755,New Williamton,WA,35429,-0.5102115,146.675235,Yes,None,No,Yes
Rowland Ltd,Gym,3.75,926,765.3177125,Cindymouth,MO,63621,52.314764,-149.685066,No,Paid,Yes,No
Baker Ltd,Restaurant,3.45,551,763.1125867,Taylorchester,NE,14657,78.406445,-89.356392,No,Paid,No,No
Medina Inc,Hotel,1.6,848,687.4511877,Thomasbury,VI,76235,-2.018556,-7.716757,No,Free,No,No
Stephens-Davis,Cafe,3.65,161,795.2350695,Campbelltown,GA,71374,-7.3509145,-53.899311,No,None,No,No
"Mcbride, Williams and Clarke",Gym,4.43,332,700.6470654,Deniseton,MO,56548,-88.706383,66.444451,No,None,Yes,Yes
Lee-Anderson,Cafe,3.62,273,358.4728784,Port Courtneychester,MN,8482,-37.138964,-53.876055,No,Free,Yes,Yes
Edwards Group,Restaurant,4.71,442,455.014722,South Chloeberg,NE,30518,45.107482,-76.560615,Yes,Free,Yes,No
Sanders-Chavez,Gym,2.71,39,503.9972224,Reidbury,FL,59241,-10.536443,-7.132227,Yes,Free,No,No
"Wyatt, Chambers and Chandler",Cafe,3.17,963,728.796243,Kathryntown,PA,74999,24.8836525,167.173958,Yes,Paid,No,No
Ross-Bass,Bar,1.42,515,699.2167415,West Christopher,GA,54707,-6.5669195,-83.044717,Yes,None,No,No
Walker-Adams,Restaurant,2.17,573,667.4792941,South Ryanfurt,NV,88160,-26.065371,65.842762,No,None,Yes,Yes
Pineda-Rosales,Gym,2.62,849,105.9210463,Ashleymouth,OH,89807,84.2197185,148.747171,No,Paid,No,Yes
Reynolds Inc,Restaurant,2.84,771,995.6730966,New Ryan,MI,14618,-0.2398365,-109.376078,Yes,Free,No,No
Diaz Group,Hotel,4.32,672,521.3258982,West Marissashire,NH,99211,-21.46189,-125.475273,Yes,None,Yes,Yes
Zavala-Diaz,Hotel,4.38,206,990.3677304,North Jennifer,TN,97858,87.052179,25.94004,Yes,Free,No,Yes
Garcia LLC,Cafe,2.43,451,763.3728108,Davisside,ID,65977,63.246031,-177.427205,Yes,Paid,No,No
"Price, Moore and Bradford",Gym,3.98,269,571.940019,Kirkburgh,NC,60614,-64.5503105,93.795996,Yes,None,No,No
"Smith, Brown and Sherman",Bar,2.05,630,557.6744621,Port Jessica,IL,68847,19.772451,80.998385,No,Paid,Yes,No
Sanders-Turner,Restaurant,1.63,95,356.4092276,Dominguezport,VI,32963,33.9594515,-7.498314,Yes,None,Yes,No
